keyword,tags
cheap,recommendation;cheap
cheapest,recommendation;cheap
deliver,delivery
delivery,delivery
food,food
how,how
location,location
open,operation
opens,operation
operate,operation
operates,operation
operating,operation
operation,operation
price,price
recommendation,recommendation
start,operation
time,time
vegetarian,vegetarian;recommendation
what,question;what
when,question;time
where,question;location
